37, 0.149819 0.097286 0.206777 0.244644 0.302316;
38, 0.149342 0.09736 0.207551 0.244908 0.301401;
39, 0.148879 0.097575 0.208185 0.245098 0.300624;
40, 0.148563 0.097832 0.208604 0.245139 0.300005;
41, 0.148295 0.098158 0.208943 0.245011 0.299536;
42, 0.148101 0.098525 0.209289 0.244678 0.299226;
43, 0.147999 0.09895 0.209736 0.244151 0.298983;
44, 0.148008 0.099431 0.210189 0.243544 0.298684;
45, 0.148152 0.099957 0.210178 0.243029 0.298303;
46, 0.148304 0.100801 0.210193 0.242635 0.29784;
47, 0.148416 0.101551 0.210404 0.242286 0.297318;
48, 0.14847 0.102223 0.210835 0.241924 0.29667;
49, 0.148475 0.102862 0.211353 0.241557 0.295908;
50, 0.148443 0.103514 0.211857 0.241208 0.295101;
51, 0.148377 0.104195 0.212366 0.240886 0.294297;
52, 0.148155 0.104885 0.212711 0.240765 0.293486;
53, 0.147907 0.10554 0.212755 0.24085 0.292828;
54, 0.147765 0.106158 0.212638 0.241012 0.29233;
55, 0.147717 0.106746 0.212434 0.241243 0.291839;
56, 0.147699 0.107279 0.212214 0.241544 0.291328;
57, 0.147636 0.107741 0.211991 0.241925 0.290802;
58, 0.147495 0.108135 0.211764 0.242352 0.290313;
59, 0.147316 0.108467 0.211441 0.242809 0.289923;
60, 0.147093 0.10869 0.211124 0.243229 0.289744;
61, 0.146855 0.10881 0.210809 0.243598 0.289745;
62, 0.146674 0.108851 0.210557 0.243889 0.289887;
63, 0.146655 0.108804 0.210393 0.244072 0.290077;
64, 0.146894 0.10867 0.21024 0.244154 0.290209;
65, 0.147426 0.108475 0.209951 0.244193 0.290236;
66, 0.148105 0.108245 0.209486 0.244282 0.290185;
67, 0.148906 0.107992 0.208884 0.244404 0.290135;
68, 0.149782 0.107725 0.208218 0.244523 0.290081;
69, 0.150651 0.107444 0.207552 0.244624 0.290032;
70, 0.151464 0.107155 0.206907 0.244702 0.290018;
71, 0.152212 0.106875 0.206307 0.244766 0.290052;
72, 0.152892 0.106609 0.205779 0.244841 0.290106;
73, 0.153518 0.106344 0.20526 0.244962 0.290144;
74, 0.154047 0.106087 0.204764 0.245139 0.290173;
